load_torque_Nm;current_A
0;0.2712477396
1e-05;0.2714135021
2e-05;0.2715792646
3e-05;0.2717450271
4e-05;0.2719107896
5e-05;0.2720765521
6e-05;0.2722423146
7e-05;0.2724080772
8e-05;0.2725738397
9e-05;0.2727396022
0.0001;0.2729053647
0.00011;0.2730711272
0.00012;0.2732368897
0.00013;0.2734026522
0.00014;0.2735684147
0.00015;0.2737341772
0.00016;0.2738999397
0.00017;0.2740657022
0.00018;0.2742314647
0.00019;0.2743972272
0.0002;0.2745629898
0.00021;0.2747287523
0.00022;0.2748945148
0.00023;0.2750602773
0.00024;0.2752260398
0.00025;0.2753918023
0.00026;0.2755575648
0.00027;0.2757233273
0.00028;0.2758890898
0.00029;0.2760548523
0.0003;0.2762206148
0.00031;0.2763863773
0.00032;0.2765521398
0.00033;0.2767179024
0.00034;0.2768836649
0.00035;0.2770494274
0.00036;0.2772151899
0.00037;0.2773809524
0.00038;0.2775467149
0.00039;0.2777124774
0.0004;0.2778782399
0.00041;0.2780440024
0.00042;0.2782097649
0.00043;0.2783755274
0.00044;0.2785412899
0.00045;0.2787070524
0.00046;0.2788728149
0.00047;0.2790385775
0.00048;0.27920434
0.00049;0.2793701025
0.0005;0.279535865
0.00051;0.2797016275
0.00052;0.27986739
0.00053;0.2800331525
0.00054;0.280198915
0.00055;0.2803646775
0.00056;0.28053044
0.00057;0.2806962025
0.00058;0.280861965
0.00059;0.2810277275
0.0006;0.2811934901
0.00061;0.2813592526
0.00062;0.2815250151
0.00063;0.2816907776
0.00064;0.2818565401
0.00065;0.2820223026
0.00066;0.2821880651
0.00067;0.2823538276
0.00068;0.2825195901
0.00069;0.2826853526
0.0007;0.2828511151
0.00071;0.2830168776
0.00072;0.2831826401
0.00073;0.2833484027
0.00074;0.2835141652
0.00075;0.2836799277
0.00076;0.2838456902
0.00077;0.2840114527
0.00078;0.2841772152
0.00079;0.2843429777
0.0008;0.2845087402
0.00081;0.2846745027
0.00082;0.2848402652
0.00083;0.2850060277
0.00084;0.2851717902
0.00085;0.2853375527
0.00086;0.2855033153
0.00087;0.2856690778
0.00088;0.2858348403
0.00089;0.2860006028
0.0009;0.2861663653
0.00091;0.2863321278
0.00092;0.2864978903
0.00093;0.2866636528
0.00094;0.2868294153
0.00095;0.2869951778
0.00096;0.2871609403
0.00097;0.2873267028
0.00098;0.2874924653
0.00099;0.2876582278
0.001;0.2878239904
0.00101;0.2879897529
0.00102;0.2881555154
0.00103;0.2883212779
0.00104;0.2884870404
0.00105;0.2886528029
0.00106;0.2888185654
0.00107;0.2889843279
0.00108;0.2891500904
0.00109;0.2893158529
0.0011;0.2894816154
0.00111;0.2896473779
0.00112;0.2898131404
0.00113;0.289978903
0.00114;0.2901446655
0.00115;0.290310428
0.00116;0.2904761905
0.00117;0.290641953
0.00118;0.2908077155
0.00119;0.290973478
0.0012;0.2911392405
0.00121;0.291305003
0.00122;0.2914707655
0.00123;0.291636528
0.00124;0.2918022905
0.00125;0.291968053
0.00126;0.2921338156
0.00127;0.2922995781
0.00128;0.2924653406
0.00129;0.2926311031
0.0013;0.2927968656
0.00131;0.2929626281
0.00132;0.2931283906
0.00133;0.2932941531
0.00134;0.2934599156
0.00135;0.2936256781
0.00136;0.2937914406
0.00137;0.2939572031
0.00138;0.2941229656
0.00139;0.2942887281
0.0014;0.2944544907
0.00141;0.2946202532
0.00142;0.2947860157
0.00143;0.2949517782
0.00144;0.2951175407
0.00145;0.2952833032
0.00146;0.2954490657
0.00147;0.2956148282
0.00148;0.2957805907
0.00149;0.2959463532
0.0015;0.2961121157
0.00151;0.2962778782
0.00152;0.2964436407
0.00153;0.2966094033
0.00154;0.2967751658
0.00155;0.2969409283
0.00156;0.2971066908
0.00157;0.2972724533
0.00158;0.2974382158
0.00159;0.2976039783
0.0016;0.2977697408
0.00161;0.2979355033
0.00162;0.2981012658
0.00163;0.2982670283
0.00164;0.2984327908
0.00165;0.2985985533
0.00166;0.2987643159
0.00167;0.2989300784
0.00168;0.2990958409
0.00169;0.2992616034
0.0017;0.2994273659
0.00171;0.2995931284
0.00172;0.2997588909
0.00173;0.2999246534
0.00174;0.3000904159
0.00175;0.3002561784
0.00176;0.3004219409
0.00177;0.3005877034
0.00178;0.3007534659
0.00179;0.3009192285
0.0018;0.301084991
0.00181;0.3012507535
0.00182;0.301416516
0.00183;0.3015822785
0.00184;0.301748041
0.00185;0.3019138035
0.00186;0.302079566
0.00187;0.3022453285
0.00188;0.302411091
0.00189;0.3025768535
0.0019;0.302742616
0.00191;0.3029083785
0.00192;0.303074141
0.00193;0.3032399036
0.00194;0.3034056661
0.00195;0.3035714286
0.00196;0.3037371911
0.00197;0.3039029536
0.00198;0.3040687161
0.00199;0.3042344786
0.002;0.3044002411
0.00201;0.3045660036
0.00202;0.3047317661
0.00203;0.3048975286
0.00204;0.3050632911
0.00205;0.3052290536
0.00206;0.3053948162
0.00207;0.3055605787
0.00208;0.3057263412
0.00209;0.3058921037
0.0021;0.3060578662
0.00211;0.3062236287
0.00212;0.3063893912
0.00213;0.3065551537
