rpm,air_gap_mm,B0_T,fem_torque_Nm,torque_compensation_Nm,torque_Nm
1000,5.00,0.2095693764,0.0552894574,0.0207300000,0.0760194574
1000,5.25,0.2007356843,0.0507266114,0.0207300000,0.0714566114
1000,5.50,0.1923463792,0.0465751987,0.0207300000,0.0673051987
1000,5.75,0.1843782167,0.0427962688,0.0207300000,0.0635262688
1000,6.00,0.1768089220,0.0393545579,0.0207300000,0.0600845579
1000,6.25,0.1696172066,0.0362181697,0.0207300000,0.0569481697
1000,6.50,0.1627827713,0.0333582732,0.0207300000,0.0540882732
1000,6.75,0.1562862994,0.0307488234,0.0207300000,0.0514788234
1000,7.00,0.1501094410,0.0283663006,0.0207300000,0.0490963006
1000,7.25,0.1442347910,0.0261894721,0.0207300000,0.0469194721
1000,7.50,0.1386458613,0.0241991720,0.0207300000,0.0449291720
1000,7.75,0.1333270508,0.0223781011,0.0207300000,0.0431081011
1000,8.00,0.1282636106,0.0207106442,0.0207300000,0.0414406442
1000,8.25,0.1234416095,0.0191827045,0.0207300000,0.0399127045
1000,8.50,0.1188478973,0.0177815531,0.0207300000,0.0385115531
1000,8.75,0.1144700677,0.0164956930,0.0207300000,0.0372256930
1000,9.00,0.1102964218,0.0153147366,0.0207300000,0.0360447366
1000,9.25,0.1063159319,0.0142292951,0.0207300000,0.0349592951
1000,9.50,0.1025182057,0.0132308784,0.0207300000,0.0339608784
1000,9.75,0.0988934521,0.0123118059,0.0207300000,0.0330418059
1000,10.00,0.0954324471,0.0114651253,0.0207300000,0.0321951253
1000,10.25,0.0921265026,0.0106845406,0.0207300000,0.0314145406
1000,10.50,0.0889674348,0.0099643465,0.0207300000,0.0306943465
1000,10.75,0.0859475351,0.0092993702,0.0207300000,0.0300293702
1000,11.00,0.0830595421,0.0086849186,0.0207300000,0.0294149186
1000,11.25,0.0802966151,0.0081167312,0.0207300000,0.0288467312
1000,11.50,0.0776523087,0.0075909378,0.0207300000,0.0283209378
1000,11.75,0.0751205491,0.0071040203,0.0207300000,0.0278340203
1000,12.00,0.0726956118,0.0066527787,0.0207300000,0.0273827787
1000,12.25,0.0703720999,0.0062343001,0.0207300000,0.0269643001
1000,12.50,0.0681449248,0.0058459315,0.0207300000,0.0265759315
1000,12.75,0.0660092870,0.0054852543,0.0207300000,0.0262152543
1000,13.00,0.0639606584,0.0051500629,0.0207300000,0.0258800629
1000,13.25,0.0619947661,0.0048383439,0.0207300000,0.0255683439
1000,13.50,0.0601075765,0.0045482583,0.0207300000,0.0252782583
1000,13.75,0.0582952810,0.0042781252,0.0207300000,0.0250081252
1000,14.00,0.0565542822,0.0040264070,0.0207300000,0.0247564070
1100,5.00,0.2095693764,0.0608183200,0.0207300000,0.0815483200
1100,5.25,0.2007356843,0.0557991962,0.0207300000,0.0765291962
1100,5.50,0.1923463792,0.0512326485,0.0207300000,0.0719626485
1100,5.75,0.1843782167,0.0470758312,0.0207300000,0.0678058312
1100,6.00,0.1768089220,0.0432899545,0.0207300000,0.0640199545
1100,6.25,0.1696172066,0.0398399321,0.0207300000,0.0605699321
1100,6.50,0.1627827713,0.0366940504,0.0207300000,0.0574240504
1100,6.75,0.1562862994,0.0338236594,0.0207300000,0.0545536594
1100,7.00,0.1501094410,0.0312028880,0.0207300000,0.0519328880
1100,7.25,0.1442347910,0.0288083799,0.0207300000,0.0495383799
1100,7.50,0.1386458613,0.0266190528,0.0207300000,0.0473490528
1100,7.75,0.1333270508,0.0246158775,0.0207300000,0.0453458775
1100,8.00,0.1282636106,0.0227816775,0.0207300000,0.0435116775
1100,8.25,0.1234416095,0.0211009461,0.0207300000,0.0418309461
1100,8.50,0.1188478973,0.0195596816,0.0207300000,0.0402896816
1100,8.75,0.1144700677,0.0181452375,0.0207300000,0.0388752375
1100,9.00,0.1102964218,0.0168461872,0.0207300000,0.0375761872
1100,9.25,0.1063159319,0.0156522032,0.0207300000,0.0363822032
1100,9.50,0.1025182057,0.0145539464,0.0207300000,0.0352839464
1100,9.75,0.0988934521,0.0135429680,0.0207300000,0.0342729680
1100,10.00,0.0954324471,0.0126116206,0.0207300000,0.0333416206
1100,10.25,0.0921265026,0.0117529786,0.0207300000,0.0324829786
1100,10.50,0.0889674348,0.0109607662,0.0207300000,0.0316907662
1100,10.75,0.0859475351,0.0102292932,0.0207300000,0.0309592932
1100,11.00,0.0830595421,0.0095533974,0.0207300000,0.0302833974
1100,11.25,0.0802966151,0.0089283921,0.0207300000,0.0296583921
1100,11.50,0.0776523087,0.0083500201,0.0207300000,0.0290800201
1100,11.75,0.0751205491,0.0078144116,0.0207300000,0.0285444116
1100,12.00,0.0726956118,0.0073180466,0.0207300000,0.0280480466
1100,12.25,0.0703720999,0.0068577208,0.0207300000,0.0275877208
1100,12.50,0.0681449248,0.0064305158,0.0207300000,0.0271605158
1100,12.75,0.0660092870,0.0060337715,0.0207300000,0.0267637715
1100,13.00,0.0639606584,0.0056650615,0.0207300000,0.0263950615
1100,13.25,0.0619947661,0.0053221710,0.0207300000,0.0260521710
1100,13.50,0.0601075765,0.0050030773,0.0207300000,0.0257330773
1100,13.75,0.0582952810,0.0047059312,0.0207300000,0.0254359312
1100,14.00,0.0565542822,0.0044290417,0.0207300000,0.0251590417
1200,5.00,0.2095693764,0.0663471587,0.0207300000,0.0870771587
1200,5.25,0.2007356843,0.0608717592,0.0207300000,0.0816017592
1200,5.50,0.1923463792,0.0558900783,0.0207300000,0.0766200783
1200,5.75,0.1843782167,0.0513553753,0.0207300000,0.0720853753
1200,6.00,0.1768089220,0.0472253342,0.0207300000,0.0679553342
1200,6.25,0.1696172066,0.0434616790,0.0207300000,0.0641916790
1200,6.50,0.1627827713,0.0400298131,0.0207300000,0.0607598131
1200,6.75,0.1562862994,0.0368984823,0.0207300000,0.0576284823
1200,7.00,0.1501094410,0.0340394632,0.0207300000,0.0547694632
1200,7.25,0.1442347910,0.0314272765,0.0207300000,0.0521572765
1200,7.50,0.1386458613,0.0290389231,0.0207300000,0.0497689231
1200,7.75,0.1333270508,0.0268536443,0.0207300000,0.0475836443
1200,8.00,0.1282636106,0.0248527018,0.0207300000,0.0455827018
1200,8.25,0.1234416095,0.0230191795,0.0207300000,0.0437491795
1200,8.50,0.1188478973,0.0213378025,0.0207300000,0.0420678025
1200,8.75,0.1144700677,0.0197947748,0.0207300000,0.0405247748
1200,9.00,0.1102964218,0.0183776313,0.0207300000,0.0391076313
1200,9.25,0.1063159319,0.0170751052,0.0207300000,0.0378051052
1200,9.50,0.1025182057,0.0158770086,0.0207300000,0.0366070086
1200,9.75,0.0988934521,0.0147741247,0.0207300000,0.0355041247
1200,10.00,0.0954324471,0.0137581110,0.0207300000,0.0344881110
1200,10.25,0.0921265026,0.0128214120,0.0207300000,0.0335514120
1200,10.50,0.0889674348,0.0119571816,0.0207300000,0.0326871816
1200,10.75,0.0859475351,0.0111592123,0.0207300000,0.0318892123
1200,11.00,0.0830595421,0.0104218724,0.0207300000,0.0311518724
1200,11.25,0.0802966151,0.0097400495,0.0207300000,0.0304700495
1200,11.50,0.0776523087,0.0091090992,0.0207300000,0.0298390992
1200,11.75,0.0751205491,0.0085247999,0.0207300000,0.0292547999
1200,12.00,0.0726956118,0.0079833116,0.0207300000,0.0287133116
1200,12.25,0.0703720999,0.0074811387,0.0207300000,0.0282111387
1200,12.50,0.0681449248,0.0070150977,0.0207300000,0.0277450977
1200,12.75,0.0660092870,0.0065822863,0.0207300000,0.0273122863
1200,13.00,0.0639606584,0.0061800578,0.0207300000,0.0269100578
1200,13.25,0.0619947661,0.0058059961,0.0207300000,0.0265359961
1200,13.50,0.0601075765,0.0054578943,0.0207300000,0.0261878943
1200,13.75,0.0582952810,0.0051337355,0.0207300000,0.0258637355
1200,14.00,0.0565542822,0.0048316746,0.0207300000,0.0255616746
1300,5.00,0.2095693764,0.0718759716,0.0207300000,0.0926059716
1300,5.25,0.2007356843,0.0659442984,0.0207300000,0.0866742984
1300,5.50,0.1923463792,0.0605474862,0.0207300000,0.0812774862
1300,5.75,0.1843782167,0.0556348993,0.0207300000,0.0763648993
1300,6.00,0.1768089220,0.0511606954,0.0207300000,0.0718906954
1300,6.25,0.1696172066,0.0470834089,0.0207300000,0.0678134089
1300,6.50,0.1627827713,0.0433655603,0.0207300000,0.0640955603
1300,6.75,0.1562862994,0.0399732907,0.0207300000,0.0607032907
1300,7.00,0.1501094410,0.0368760251,0.0207300000,0.0576060251
1300,7.25,0.1442347910,0.0340461607,0.0207300000,0.0547761607
1300,7.50,0.1386458613,0.0314587822,0.0207300000,0.0521887822
1300,7.75,0.1333270508,0.0290914006,0.0207300000,0.0498214006
1300,8.00,0.1282636106,0.0269237164,0.0207300000,0.0476537164
1300,8.25,0.1234416095,0.0249374038,0.0207300000,0.0456674038
1300,8.50,0.1188478973,0.0231159151,0.0207300000,0.0438459151
1300,8.75,0.1144700677,0.0214443045,0.0207300000,0.0421743045
1300,9.00,0.1102964218,0.0199090681,0.0207300000,0.0406390681
1300,9.25,0.1063159319,0.0184980005,0.0207300000,0.0392280005
1300,9.50,0.1025182057,0.0172000646,0.0207300000,0.0379300646
1300,9.75,0.0988934521,0.0160052757,0.0207300000,0.0367352757
1300,10.00,0.0954324471,0.0149045959,0.0207300000,0.0356345959
1300,10.25,0.0921265026,0.0138898404,0.0207300000,0.0346198404
1300,10.50,0.0889674348,0.0129535923,0.0207300000,0.0336835923
1300,10.75,0.0859475351,0.0120891269,0.0207300000,0.0328191269
1300,11.00,0.0830595421,0.0112903434,0.0207300000,0.0320203434
1300,11.25,0.0802966151,0.0105517031,0.0207300000,0.0312817031
1300,11.50,0.0776523087,0.0098681747,0.0207300000,0.0305981747
1300,11.75,0.0751205491,0.0092351849,0.0207300000,0.0299651849
1300,12.00,0.0726956118,0.0086485734,0.0207300000,0.0293785734
1300,12.25,0.0703720999,0.0081045538,0.0207300000,0.0288345538
1300,12.50,0.0681449248,0.0075996767,0.0207300000,0.0283296767
1300,12.75,0.0660092870,0.0071307986,0.0207300000,0.0278607986
1300,13.00,0.0639606584,0.0066950517,0.0207300000,0.0274250517
1300,13.25,0.0619947661,0.0062898188,0.0207300000,0.0270198188
1300,13.50,0.0601075765,0.0059127092,0.0207300000,0.0266427092
1300,13.75,0.0582952810,0.0055615377,0.0207300000,0.0262915377
1300,14.00,0.0565542822,0.0052343056,0.0207300000,0.0259643056
1400,5.00,0.2095693764,0.0774047563,0.0207300000,0.0981347563
1400,5.25,0.2007356843,0.0710168118,0.0207300000,0.0917468118
1400,5.50,0.1923463792,0.0652048704,0.0207300000,0.0859348704
1400,5.75,0.1843782167,0.0599144016,0.0207300000,0.0806444016
1400,6.00,0.1768089220,0.0550960366,0.0207300000,0.0758260366
1400,6.25,0.1696172066,0.0507051205,0.0207300000,0.0714351205
1400,6.50,0.1627827713,0.0467012905,0.0207300000,0.0674312905
1400,6.75,0.1562862994,0.0430480835,0.0207300000,0.0637780835
1400,7.00,0.1501094410,0.0397125725,0.0207300000,0.0604425725
1400,7.25,0.1442347910,0.0366650317,0.0207300000,0.0573950317
1400,7.50,0.1386458613,0.0338786289,0.0207300000,0.0546086289
1400,7.75,0.1333270508,0.0313291455,0.0207300000,0.0520591455
1400,8.00,0.1282636106,0.0289947206,0.0207300000,0.0497247206
1400,8.25,0.1234416095,0.0268556184,0.0207300000,0.0475856184
1400,8.50,0.1188478973,0.0248940186,0.0207300000,0.0456240186
1400,8.75,0.1144700677,0.0230938257,0.0207300000,0.0438238257
1400,9.00,0.1102964218,0.0214404972,0.0207300000,0.0421704972
1400,9.25,0.1063159319,0.0199208886,0.0207300000,0.0406508886
1400,9.50,0.1025182057,0.0185231140,0.0207300000,0.0392531140
1400,9.75,0.0988934521,0.0172364205,0.0207300000,0.0379664205
1400,10.00,0.0954324471,0.0160510751,0.0207300000,0.0367810751
1400,10.25,0.0921265026,0.0149582633,0.0207300000,0.0356882633
1400,10.50,0.0889674348,0.0139499979,0.0207300000,0.0346799979
1400,10.75,0.0859475351,0.0130190369,0.0207300000,0.0337490369
1400,11.00,0.0830595421,0.0121588100,0.0207300000,0.0328888100
1400,11.25,0.0802966151,0.0113633526,0.0207300000,0.0320933526
1400,11.50,0.0776523087,0.0106272464,0.0207300000,0.0313572464
1400,11.75,0.0751205491,0.0099455662,0.0207300000,0.0306755662
1400,12.00,0.0726956118,0.0093138319,0.0207300000,0.0300438319
1400,12.25,0.0703720999,0.0087279656,0.0207300000,0.0294579656
1400,12.50,0.0681449248,0.0081842529,0.0207300000,0.0289142529
1400,12.75,0.0660092870,0.0076793080,0.0207300000,0.0284093080
1400,13.00,0.0639606584,0.0072100430,0.0207300000,0.0279400430
1400,13.25,0.0619947661,0.0067736391,0.0207300000,0.0275036391
1400,13.50,0.0601075765,0.0063675218,0.0207300000,0.0270975218
1400,13.75,0.0582952810,0.0059893378,0.0207300000,0.0267193378
1400,14.00,0.0565542822,0.0056369346,0.0207300000,0.0263669346
1500,5.00,0.2095693764,0.0829335108,0.0207300000,0.1036635108
1500,5.25,0.2007356843,0.0760892975,0.0207300000,0.0968192975
1500,5.50,0.1923463792,0.0698622292,0.0207300000,0.0905922292
1500,5.75,0.1843782167,0.0641938804,0.0207300000,0.0849238804
1500,6.00,0.1768089220,0.0590313562,0.0207300000,0.0797613562
1500,6.25,0.1696172066,0.0543268121,0.0207300000,0.0750568121
1500,6.50,0.1627827713,0.0500370024,0.0207300000,0.0707670024
1500,6.75,0.1562862994,0.0461228595,0.0207300000,0.0668528595
1500,7.00,0.1501094410,0.0425491045,0.0207300000,0.0632791045
1500,7.25,0.1442347910,0.0392838883,0.0207300000,0.0600138883
1500,7.50,0.1386458613,0.0362984624,0.0207300000,0.0570284624
1500,7.75,0.1333270508,0.0335668782,0.0207300000,0.0542968782
1500,8.00,0.1282636106,0.0310657133,0.0207300000,0.0517957133
1500,8.25,0.1234416095,0.0287738225,0.0207300000,0.0495038225
1500,8.50,0.1188478973,0.0266721124,0.0207300000,0.0474021124
1500,8.75,0.1144700677,0.0247433380,0.0207300000,0.0454733380
1500,9.00,0.1102964218,0.0229719179,0.0207300000,0.0437019179
1500,9.25,0.1063159319,0.0213437688,0.0207300000,0.0420737688
1500,9.50,0.1025182057,0.0198461560,0.0207300000,0.0405761560
1500,9.75,0.0988934521,0.0184675585,0.0207300000,0.0391975585
1500,10.00,0.0954324471,0.0171975480,0.0207300000,0.0379275480
