load_torque_Nm;efficiency_percent
0;0
1e-05;0.05814191664
2e-05;0.1162124703
3e-05;0.1742117916
4e-05;0.2321400108
5e-05;0.2899972578
6e-05;0.3477836623
7e-05;0.4054993537
8e-05;0.4631444608
9e-05;0.5207191125
0.0001;0.5782234371
0.00011;0.6356575627
0.00012;0.693021617
0.00013;0.7503157275
0.00014;0.8075400214
0.00015;0.8646946254
0.00016;0.9217796661
0.00017;0.9787952697
0.00018;1.035741562
0.00019;1.092618669
0.0002;1.149426716
0.00021;1.206165827
0.00022;1.262836128
0.00023;1.319437743
0.00024;1.375970796
0.00025;1.43243541
0.00026;1.48883171
0.00027;1.545159818
0.00028;1.601419858
0.00029;1.657611952
0.0003;1.713736222
0.00031;1.76979279
0.00032;1.825781779
0.00033;1.881703309
0.00034;1.937557502
0.00035;1.993344478
0.00036;2.049064359
0.00037;2.104717264
0.00038;2.160303314
0.00039;2.215822628
0.0004;2.271275325
0.00041;2.326661525
0.00042;2.381981347
0.00043;2.437234909
0.00044;2.492422329
0.00045;2.547543726
0.00046;2.602599218
0.00047;2.657588921
0.00048;2.712512952
0.00049;2.76737143
0.0005;2.82216447
0.00051;2.876892188
0.00052;2.931554702
0.00053;2.986152126
0.00054;3.040684576
0.00055;3.095152167
0.00056;3.149555015
0.00057;3.203893234
0.00058;3.258166938
0.00059;3.312376242
0.0006;3.366521259
0.00061;3.420602104
0.00062;3.474618889
0.00063;3.528571727
0.00064;3.582460732
0.00065;3.636286016
0.00066;3.690047691
0.00067;3.74374587
0.00068;3.797380663
0.00069;3.850952183
0.0007;3.904460541
0.00071;3.957905848
0.00072;4.011288214
0.00073;4.06460775
0.00074;4.117864566
0.00075;4.171058772
0.00076;4.224190478
0.00077;4.277259793
0.00078;4.330266827
0.00079;4.383211688
0.0008;4.436094485
0.00081;4.488915327
0.00082;4.541674321
0.00083;4.594371575
0.00084;4.647007198
0.00085;4.699581296
0.00086;4.752093977
0.00087;4.804545348
0.00088;4.856935515
0.00089;4.909264585
0.0009;4.961532663
0.00091;5.013739857
0.00092;5.065886271
0.00093;5.117972011
0.00094;5.169997182
0.00095;5.221961889
0.00096;5.273866237
0.00097;5.32571033
0.00098;5.377494273
0.00099;5.429218169
0.001;5.480882122
0.00101;5.532486236
0.00102;5.584030615
0.00103;5.63551536
0.00104;5.686940575
0.00105;5.738306362
0.00106;5.789612824
0.00107;5.840860063
0.00108;5.892048181
0.00109;5.943177278
0.0011;5.994247458
0.00111;6.04525882
0.00112;6.096211466
0.00113;6.147105496
0.00114;6.197941012
0.00115;6.248718112
0.00116;6.299436898
0.00117;6.350097468
0.00118;6.400699923
0.00119;6.451244362
0.0012;6.501730883
0.00121;6.552159586
0.00122;6.60253057
0.00123;6.652843932
0.00124;6.703099772
0.00125;6.753298186
0.00126;6.803439274
0.00127;6.853523131
0.00128;6.903549856
0.00129;6.953519546
0.0013;7.003432297
0.00131;7.053288206
0.00132;7.10308737
0.00133;7.152829885
0.00134;7.202515847
0.00135;7.252145351
0.00136;7.301718493
0.00137;7.351235369
0.00138;7.400696074
0.00139;7.450100702
0.0014;7.499449348
0.00141;7.548742107
0.00142;7.597979073
0.00143;7.647160341
0.00144;7.696286003
0.00145;7.745356154
0.00146;7.794370886
0.00147;7.843330294
0.00148;7.892234471
0.00149;7.941083508
0.0015;7.989877499
0.00151;8.038616537
0.00152;8.087300712
0.00153;8.135930118
0.00154;8.184504845
0.00155;8.233024987
0.00156;8.281490633
0.00157;8.329901875
0.00158;8.378258805
0.00159;8.426561512
0.0016;8.474810088
0.00161;8.523004622
0.00162;8.571145205
0.00163;8.619231927
0.00164;8.667264878
0.00165;8.715244147
0.00166;8.763169823
0.00167;8.811041996
0.00168;8.858860755
0.00169;8.906626187
0.0017;8.954338383
0.00171;9.00199743
0.00172;9.049603417
0.00173;9.097156431
0.00174;9.14465656
0.00175;9.192103892
0.00176;9.239498514
0.00177;9.286840513
0.00178;9.334129977
0.00179;9.381366993
0.0018;9.428551646
0.00181;9.475684023
0.00182;9.522764211
0.00183;9.569792295
0.00184;9.616768362
0.00185;9.663692497
0.00186;9.710564786
0.00187;9.757385314
0.00188;9.804154165
0.00189;9.850871426
0.0019;9.89753718
0.00191;9.944151513
0.00192;9.990714508
0.00193;10.03722625
0.00194;10.08368682
0.00195;10.13009631
0.00196;10.1764548
0.00197;10.22276237
0.00198;10.2690191
0.00199;10.31522508
0.002;10.36138039
0.00201;10.40748512
0.00202;10.45353934
0.00203;10.49954314
