load_torque_Nm;mechanical_power_W
0;0
1e-05;0.003787320291
2e-05;0.007574615334
3e-05;0.01136188513
4e-05;0.01514912967
5e-05;0.01893634897
6e-05;0.02272354301
7e-05;0.02651071181
8e-05;0.03029785536
9e-05;0.03408497366
0.0001;0.03787206671
0.00011;0.04165913452
0.00012;0.04544617707
0.00013;0.04923319437
0.00014;0.05302018643
0.00015;0.05680715324
0.00016;0.06059409479
0.00017;0.0643810111
0.00018;0.06816790216
0.00019;0.07195476797
0.0002;0.07574160854
0.00021;0.07952842385
0.00022;0.08331521392
0.00023;0.08710197873
0.00024;0.0908887183
0.00025;0.09467543262
0.00026;0.09846212169
0.00027;0.1022487855
0.00028;0.1060354241
0.00029;0.1098220374
0.0003;0.1136086255
0.00031;0.1173951883
0.00032;0.1211817259
0.00033;0.1249682382
0.00034;0.1287547253
0.00035;0.1325411871
0.00036;0.1363276237
0.00037;0.140114035
0.00038;0.1439004211
0.00039;0.1476867819
0.0004;0.1514731175
0.00041;0.1552594279
0.00042;0.1590457129
0.00043;0.1628319728
0.00044;0.1666182074
0.00045;0.1704044167
0.00046;0.1741906008
0.00047;0.1779767596
0.00048;0.1817628932
0.00049;0.1855490016
0.0005;0.1893350847
0.00051;0.1931211425
0.00052;0.1969071751
0.00053;0.2006931825
0.00054;0.2044791646
0.00055;0.2082651214
0.00056;0.212051053
0.00057;0.2158369594
0.00058;0.2196228405
0.00059;0.2234086963
0.0006;0.2271945269
0.00061;0.2309803323
0.00062;0.2347661124
0.00063;0.2385518673
0.00064;0.2423375969
0.00065;0.2461233012
0.00066;0.2499089804
0.00067;0.2536946342
0.00068;0.2574802628
0.00069;0.2612658662
0.0007;0.2650514443
0.00071;0.2688369972
0.00072;0.2726225248
0.00073;0.2764080272
0.00074;0.2801935043
0.00075;0.2839789562
0.00076;0.2877643828
0.00077;0.2915497842
0.00078;0.2953351603
0.00079;0.2991205112
0.0008;0.3029058368
0.00081;0.3066911372
0.00082;0.3104764123
0.00083;0.3142616622
0.00084;0.3180468869
0.00085;0.3218320862
0.00086;0.3256172604
0.00087;0.3294024093
0.00088;0.3331875329
0.00089;0.3369726313
0.0009;0.3407577044
0.00091;0.3445427523
0.00092;0.348327775
0.00093;0.3521127724
0.00094;0.3558977445
0.00095;0.3596826914
0.00096;0.363467613
0.00097;0.3672525094
0.00098;0.3710373806
0.00099;0.3748222265
0.001;0.3786070471
0.00101;0.3823918425
0.00102;0.3861766127
0.00103;0.3899613576
0.00104;0.3937460773
0.00105;0.3975307717
0.00106;0.4013154408
0.00107;0.4051000847
0.00108;0.4088847034
0.00109;0.4126692968
0.0011;0.416453865
0.00111;0.4202384079
0.00112;0.4240229255
0.00113;0.427807418
0.00114;0.4315918851
0.00115;0.435376327
0.00116;0.4391607437
0.00117;0.4429451351
0.00118;0.4467295013
0.00119;0.4505138422
0.0012;0.4542981579
0.00121;0.4580824483
0.00122;0.4618667135
0.00123;0.4656509534
0.00124;0.4694351681
0.00125;0.4732193575
0.00126;0.4770035217
0.00127;0.4807876607
0.00128;0.4845717743
0.00129;0.4883558628
0.0013;0.492139926
0.00131;0.4959239639
0.00132;0.4997079766
0.00133;0.503491964
0.00134;0.5072759262
0.00135;0.5110598631
0.00136;0.5148437748
0.00137;0.5186276613
0.00138;0.5224115225
0.00139;0.5261953584
0.0014;0.5299791691
0.00141;0.5337629546
0.00142;0.5375467148
0.00143;0.5413304497
0.00144;0.5451141594
0.00145;0.5488978439
0.00146;0.5526815031
0.00147;0.556465137
0.00148;0.5602487457
0.00149;0.5640323292
0.0015;0.5678158874
0.00151;0.5715994203
0.00152;0.5753829281
0.00153;0.5791664105
0.00154;0.5829498677
0.00155;0.5867332997
0.00156;0.5905167064
0.00157;0.5943000879
0.00158;0.5980834441
0.00159;0.6018667751
0.0016;0.6056500808
0.00161;0.6094333612
0.00162;0.6132166165
0.00163;0.6169998464
0.00164;0.6207830512
0.00165;0.6245662306
0.00166;0.6283493849
0.00167;0.6321325138
0.00168;0.6359156176
0.00169;0.639698696
0.0017;0.6434817493
0.00171;0.6472647772
0.00172;0.65104778
0.00173;0.6548307575
0.00174;0.6586137097
0.00175;0.6623966367
0.00176;0.6661795384
0.00177;0.6699624149
0.00178;0.6737452661
0.00179;0.6775280921
0.0018;0.6813108929
0.00181;0.6850936684
0.00182;0.6888764186
0.00183;0.6926591436
0.00184;0.6964418433
0.00185;0.7002245178
0.00186;0.7040071671
0.00187;0.7077897911
0.00188;0.7115723898
0.00189;0.7153549633
0.0019;0.7191375116
0.00191;0.7229200346
0.00192;0.7267025323
0.00193;0.7304850049
0.00194;0.7342674521
0.00195;0.7380498741
0.00196;0.7418322709
0.00197;0.7456146424
0.00198;0.7493969886
0.00199;0.7531793097
0.002;0.7569616054
0.00201;0.7607438759
0.00202;0.7645261212
0.00203;0.7683083412
0.00204;0.772090536
0.00205;0.7758727055
0.00206;0.7796548498
0.00207;0.7834369688
0.00208;0.7872190626
0.00209;0.7910011311
0.0021;0.7947831744
0.00211;0.7985651924
0.00212;0.8023471852
0.00213;0.8061291527
0.00214;0.809911095
0.00215;0.813693012
0.00216;0.8174749038
0.00217;0.8212567703
0.00218;0.8250386116
0.00219;0.8288204276
0.0022;0.8326022184
0.00221;0.836383984
0.00222;0.8401657242
0.00223;0.8439474393
0.00224;0.8477291291
0.00225;0.8515107936
0.00226;0.8552924329
0.00227;0.8590740469
0.00228;0.8628556357
0.00229;0.8666371993
0.0023;0.8704187376
0.00231;0.8742002506
0.00232;0.8779817384
0.00233;0.881763201
0.00234;0.8855446383
0.00235;0.8893260503
0.00236;0.8931074371
0.00237;0.8968887987
0.00238;0.900670135
0.00239;0.904451446
0.0024;0.9082327319
0.00241;0.9120139924
0.00242;0.9157952277
0.00243;0.9195764378
0.00244;0.9233576226
0.00245;0.9271387822
0.00246;0.9309199165
0.00247;0.9347010255
0.00248;0.9384821094
0.00249;0.9422631679
0.0025;0.9460442012
0.00251;0.9498252093
0.00252;0.9536061921
0.00253;0.9573871497
0.00254;0.961168082
0.00255;0.9649489891
0.00256;0.9687298709
0.00257;0.9725107275
0.00258;0.9762915588
0.00259;0.9800723649
0.0026;0.9838531457
0.00261;0.9876339013
0.00262;0.9914146316
0.00263;0.9951953367
0.00264;0.9989760166
0.00265;1.002756671
0.00266;1.0065373
0.00267;1.010317905
0.00268;1.014098483
0.00269;1.017879037
0.0027;1.021659565
0.00271;1.025440068
0.00272;1.029220546
0.00273;1.033000999
0.00274;1.036781426
0.00275;1.040561828
0.00276;1.044342205
0.00277;1.048122557
0.00278;1.051902883
0.00279;1.055683184
0.0028;1.05946346
0.00281;1.063243711
0.00282;1.067023936
0.00283;1.070804136
0.00284;1.074584311
0.00285;1.078364461
0.00286;1.082144585
0.00287;1.085924684
0.00288;1.089704758
0.00289;1.093484807
0.0029;1.09726483
0.00291;1.101044828
0.00292;1.104824801
0.00293;1.108604748
0.00294;1.112384671
0.00295;1.116164568
0.00296;1.11994444
0.00297;1.123724286
0.00298;1.127504108
0.00299;1.131283904
0.003;1.135063675
0.00301;1.13884342
0.00302;1.142623141
0.00303;1.146402836
0.00304;1.150182506
0.00305;1.15396215
0.00306;1.15774177
0.00307;1.161521364
0.00308;1.165300933
0.00309;1.169080477
0.0031;1.172859995
0.00311;1.176639488
0.00312;1.180418956
0.00313;1.184198399
0.00314;1.187977816
0.00315;1.191757208
0.00316;1.195536575
0.00317;1.199315917
0.00318;1.203095233
0.00319;1.206874524
0.0032;1.21065379
0.00321;1.214433031
0.00322;1.218212246
0.00323;1.221991436
0.00324;1.225770601
0.00325;1.229549741
0.00326;1.233328855
0.00327;1.237107944
0.00328;1.240887008
0.00329;1.244666047
0.0033;1.24844506
0.00331;1.252224048
0.00332;1.256003011
0.00333;1.259781949
0.00334;1.263560861
0.00335;1.267339749
0.00336;1.271118611
0.00337;1.274897447
0.00338;1.278676259
0.00339;1.282455045
0.0034;1.286233806
0.00341;1.290012541
0.00342;1.293791252
0.00343;1.297569937
0.00344;1.301348597
0.00345;1.305127232
0.00346;1.308905841
0.00347;1.312684425
0.00348;1.316462984
0.00349;1.320241518
0.0035;1.324020026
0.00351;1.327798509
0.00352;1.331576967
0.00353;1.3353554
0.00354;1.339133807
0.00355;1.34291219
0.00356;1.346690547
0.00357;1.350468878
0.00358;1.354247185
0.00359;1.358025466
0.0036;1.361803722
0.00361;1.365581953
0.00362;1.369360158
0.00363;1.373138338
0.00364;1.376916493
0.00365;1.380694623
0.00366;1.384472727
0.00367;1.388250806
0.00368;1.39202886
0.00369;1.395806889
0.0037;1.399584893
0.00371;1.403362871
0.00372;1.407140824
0.00373;1.410918751
0.00374;1.414696654
0.00375;1.418474531
0.00376;1.422252383
0.00377;1.42603021
0.00378;1.429808011
0.00379;1.433585787
0.0038;1.437363538
0.00381;1.441141264
0.00382;1.444918965
0.00383;1.44869664
0.00384;1.45247429
0.00385;1.456251914
0.00386;1.460029514
0.00387;1.463807088
0.00388;1.467584637
0.00389;1.471362161
0.0039;1.475139659
0.00391;1.478917133
0.00392;1.482694581
0.00393;1.486472003
0.00394;1.490249401
0.00395;1.494026773
0.00396;1.49780412
0.00397;1.501581442
0.00398;1.505358738
0.00399;1.509136009
0.004;1.512913255
0.00401;1.516690476
0.00402;1.520467672
0.00403;1.524244842
0.00404;1.528021987
0.00405;1.531799107
0.00406;1.535576201
0.00407;1.53935327
0.00408;1.543130314
0.00409;1.546907333
0.0041;1.550684327
0.00411;1.554461295
0.00412;1.558238238
0.00413;1.562015156
0.00414;1.565792048
0.00415;1.569568915
0.00416;1.573345757
0.00417;1.577122574
0.00418;1.580899366
0.00419;1.584676132
0.0042;1.588452873
0.00421;1.592229589
0.00422;1.596006279
0.00423;1.599782944
0.00424;1.603559584
0.00425;1.607336199
0.00426;1.611112789
0.00427;1.614889353
0.00428;1.618665892
0.00429;1.622442406
0.0043;1.626218894
0.00431;1.629995358
0.00432;1.633771796
0.00433;1.637548208
0.00434;1.641324596
0.00435;1.645100958
0.00436;1.648877295
0.00437;1.652653607
0.00438;1.656429893
0.00439;1.660206155
0.0044;1.663982391
0.00441;1.667758602
0.00442;1.671534787
0.00443;1.675310947
0.00444;1.679087082
0.00445;1.682863192
0.00446;1.686639277
0.00447;1.690415336
0.00448;1.69419137
0.00449;1.697967379
0.0045;1.701743362
0.00451;1.705519321
0.00452;1.709295254
0.00453;1.713071161
0.00454;1.716847044
0.00455;1.720622901
0.00456;1.724398733
0.00457;1.72817454
0.00458;1.731950322
0.00459;1.735726078
0.0046;1.739501809
0.00461;1.743277515
0.00462;1.747053195
0.00463;1.750828851
0.00464;1.754604481
0.00465;1.758380086
0.00466;1.762155665
0.00467;1.765931219
0.00468;1.769706749
0.00469;1.773482252
0.0047;1.777257731
0.00471;1.781033184
0.00472;1.784808612
0.00473;1.788584015
0.00474;1.792359393
0.00475;1.796134745
0.00476;1.799910072
0.00477;1.803685374
0.00478;1.80746065
0.00479;1.811235902
0.0048;1.815011128
0.00481;1.818786329
0.00482;1.822561504
0.00483;1.826336655
0.00484;1.83011178
0.00485;1.83388688
0.00486;1.837661954
0.00487;1.841437003
0.00488;1.845212028
0.00489;1.848987026
0.0049;1.852762
0.00491;1.856536948
0.00492;1.860311871
0.00493;1.864086769
0.00494;1.867861642
0.00495;1.871636489
0.00496;1.875411311
0.00497;1.879186108
0.00498;1.88296088
0.00499;1.886735626
0.005;1.890510347
0.00501;1.894285043
0.00502;1.898059714
0.00503;1.901834359
0.00504;1.905608979
0.00505;1.909383574
0.00506;1.913158143
0.00507;1.916932688
0.00508;1.920707207
0.00509;1.924481701
0.0051;1.928256169
0.00511;1.932030613
0.00512;1.935805031
0.00513;1.939579424
0.00514;1.943353791
0.00515;1.947128134
0.00516;1.950902451
0.00517;1.954676743
0.00518;1.958451009
0.00519;1.962225251
0.0052;1.965999467
0.00521;1.969773658
