t_s,Rpm
0,904.159132
0.3607214429,909.5949585
0.7214428858,915.0307849
1.082164329,920.4666113
1.442885772,925.9024378
1.803607214,931.3382642
2.164328657,936.7740907
2.5250501,942.2099171
2.885771543,947.6457436
3.246492986,953.08157
3.607214429,958.5173965
3.967935872,963.9532229
4.328657315,969.3890493
4.689378758,974.8248758
5.0501002,980.2607022
5.410821643,985.6965287
5.771543086,991.1323551
6.132264529,996.5681816
6.492985972,1002.004008
6.853707415,1007.439834
7.214428858,1012.875661
7.575150301,1018.311487
7.935871743,1023.747314
8.296593186,1029.18314
8.657314629,1034.618967
9.018036072,1040.054793
9.378757515,1045.49062
9.739478958,1050.926446
10.1002004,1056.362272
10.46092184,1061.798099
10.82164329,1067.233925
11.18236473,1072.669752
11.54308617,1078.105578
11.90380762,1083.541405
12.26452906,1088.977231
12.6252505,1094.413058
12.98597194,1099.848884
13.34669339,1105.28471
13.70741483,1110.720537
14.06813627,1116.156363
14.42885772,1121.59219
14.78957916,1127.028016
15.1503006,1132.463843
15.51102204,1137.899669
15.87174349,1143.335496
16.23246493,1148.771322
16.59318637,1154.207148
16.95390782,1159.642975
17.31462926,1165.078801
17.6753507,1170.514628
18.03607214,1175.950454
18.39679359,1181.386281
18.75751503,1186.822107
19.11823647,1192.257934
19.47895792,1197.69376
19.83967936,1203.129586
20.2004008,1208.565413
20.56112224,1214.001239
20.92184369,1219.437066
21.28256513,1224.872892
21.64328657,1230.308719
22.00400802,1235.744545
22.36472946,1241.180372
22.7254509,1246.616198
23.08617234,1252.052024
23.44689379,1257.487851
23.80761523,1262.923677
24.16833667,1268.359504
24.52905812,1273.79533
24.88977956,1279.231157
25.250501,1284.666983
25.61122244,1290.10281
25.97194389,1295.538636
26.33266533,1300.974462
26.69338677,1306.410289
27.05410822,1311.846115
27.41482966,1317.281942
27.7755511,1322.717768
28.13627255,1328.153595
28.49699399,1333.589421
28.85771543,1339.025248
29.21843687,1344.461074
29.57915832,1349.8969
29.93987976,1355.332727
30.3006012,1360.768553
30.66132265,1366.20438
31.02204409,1371.640206
31.38276553,1377.076033
31.74348697,1382.511859
32.10420842,1387.947686
32.46492986,1393.383512
32.8256513,1398.819338
33.18637275,1404.255165
33.54709419,1409.690991
33.90781563,1415.126818
34.26853707,1420.562644
34.62925852,1425.998471
34.98997996,1431.434297
35.3507014,1436.870124
35.71142285,1442.30595
36.07214429,1447.741777
36.43286573,1453.177603
36.79358717,1458.613429
37.15430862,1464.049256
