t_s,Voltaje
0,6
0.3607214429,6.036072144
0.7214428858,6.072144289
1.082164329,6.108216433
1.442885772,6.144288577
1.803607214,6.180360721
2.164328657,6.216432866
2.5250501,6.25250501
2.885771543,6.288577154
3.246492986,6.324649299
3.607214429,6.360721443
3.967935872,6.396793587
4.328657315,6.432865731
4.689378758,6.468937876
5.0501002,6.50501002
5.410821643,6.541082164
5.771543086,6.577154309
6.132264529,6.613226453
6.492985972,6.649298597
6.853707415,6.685370741
7.214428858,6.721442886
7.575150301,6.75751503
7.935871743,6.793587174
8.296593186,6.829659319
8.657314629,6.865731463
9.018036072,6.901803607
9.378757515,6.937875752
9.739478958,6.973947896
10.1002004,7.01002004
10.46092184,7.046092184
10.82164329,7.082164329
11.18236473,7.118236473
11.54308617,7.154308617
11.90380762,7.190380762
12.26452906,7.226452906
12.6252505,7.26252505
12.98597194,7.298597194
13.34669339,7.334669339
13.70741483,7.370741483
14.06813627,7.406813627
14.42885772,7.442885772
14.78957916,7.478957916
15.1503006,7.51503006
15.51102204,7.551102204
15.87174349,7.587174349
16.23246493,7.623246493
16.59318637,7.659318637
16.95390782,7.695390782
17.31462926,7.731462926
17.6753507,7.76753507
18.03607214,7.803607214
18.39679359,7.839679359
18.75751503,7.875751503
19.11823647,7.911823647
19.47895792,7.947895792
19.83967936,7.983967936
20.2004008,8.02004008
20.56112224,8.056112224
20.92184369,8.092184369
21.28256513,8.128256513
21.64328657,8.164328657
22.00400802,8.200400802
22.36472946,8.236472946
22.7254509,8.27254509
23.08617234,8.308617234
23.44689379,8.344689379
23.80761523,8.380761523
24.16833667,8.416833667
24.52905812,8.452905812
24.88977956,8.488977956
25.250501,8.5250501
25.61122244,8.561122244
25.97194389,8.597194389
26.33266533,8.633266533
26.69338677,8.669338677
27.05410822,8.705410822
27.41482966,8.741482966
27.7755511,8.77755511
28.13627255,8.813627255
28.49699399,8.849699399
28.85771543,8.885771543
29.21843687,8.921843687
29.57915832,8.957915832
29.93987976,8.993987976
30.3006012,9.03006012
30.66132265,9.066132265
31.02204409,9.102204409
31.38276553,9.138276553
31.74348697,9.174348697
32.10420842,9.210420842
32.46492986,9.246492986
32.8256513,9.28256513
33.18637275,9.318637275
33.54709419,9.354709419
33.90781563,9.390781563
34.26853707,9.426853707
34.62925852,9.462925852
34.98997996,9.498997996
35.3507014,9.53507014
35.71142285,9.571142285
36.07214429,9.607214429
36.43286573,9.643286573
36.79358717,9.679358717
37.15430862,9.715430862
37.51503006,9.751503006
37.8757515,9.78757515
38.23647295,9.823647295
38.59719439,9.859719439
38.95791583,9.895791583
39.31863727,9.931863727
39.67935872,9.967935872
40.04008016,10.00400802
40.4008016,10.04008016
40.76152305,10.0761523
41.12224449,10.11222445
41.48296593,10.14829659
41.84368737,10.18436874
42.20440882,10.22044088
42.56513026,10.25651303
42.9258517,10.29258517
43.28657315,10.32865731
43.64729459,10.36472946
44.00801603,10.4008016
44.36873747,10.43687375
44.72945892,10.47294589
45.09018036,10.50901804
45.4509018,10.54509018
45.81162325,10.58116232
46.17234469,10.61723447
46.53306613,10.65330661
46.89378758,10.68937876
47.25450902,10.7254509
47.61523046,10.76152305
47.9759519,10.79759519
48.33667335,10.83366733
48.69739479,10.86973948
49.05811623,10.90581162
49.41883768,10.94188377
49.77955912,10.97795591
50.14028056,11.01402806
50.501002,11.0501002
50.86172345,11.08617234
51.22244489,11.12224449
51.58316633,11.15831663
51.94388778,11.19438878
52.30460922,11.23046092
52.66533066,11.26653307
53.0260521,11.30260521
53.38677355,11.33867735
53.74749499,11.3747495
54.10821643,11.41082164
54.46893788,11.44689379
54.82965932,11.48296593
55.19038076,11.51903808
55.5511022,11.55511022
55.91182365,11.59118236
56.27254509,11.62725451
56.63326653,11.66332665
56.99398798,11.6993988
57.35470942,11.73547094
57.71543086,11.77154309
58.0761523,11.80761523
58.43687375,11.84368737
58.79759519,11.87975952
59.15831663,11.91583166
59.51903808,11.95190381
59.87975952,11.98797595
60.24048096,12.0240481
60.6012024,12.06012024
60.96192385,12.09619238
61.32264529,12.13226453
61.68336673,12.16833667
62.04408818,12.20440882
62.40480962,12.24048096
62.76553106,12.27655311
63.12625251,12.31262525
63.48697395,12.34869739
63.84769539,12.38476954
64.20841683,12.42084168
64.56913828,12.45691383
64.92985972,12.49298597
65.29058116,12.52905812
65.65130261,12.56513026
66.01202405,12.6012024
66.37274549,12.63727455
66.73346693,12.67334669
67.09418838,12.70941884
67.45490982,12.74549098
67.81563126,12.78156313
68.17635271,12.81763527
68.53707415,12.85370741
68.89779559,12.88977956
69.25851703,12.9258517
69.61923848,12.96192385
69.97995992,12.99799599
70.34068136,13.03406814
70.70140281,13.07014028
71.06212425,13.10621242
71.42284569,13.14228457
71.78356713,13.17835671
72.14428858,13.21442886
72.50501002,13.250501
72.86573146,13.28657315
73.22645291,13.32264529
73.58717435,13.35871743
73.94789579,13.39478958
74.30861723,13.43086172
74.66933868,13.46693387
75.03006012,13.50300601
75.39078156,13.53907816
75.75150301,13.5751503
76.11222445,13.61122244
76.47294589,13.64729459
76.83366733,13.68336673
77.19438878,13.71943888
77.55511022,13.75551102
77.91583166,13.79158317
78.27655311,13.82765531
78.63727455,13.86372745
78.99799599,13.8997996
79.35871743,13.93587174
79.71943888,13.97194389
80.08016032,14.00801603
80.44088176,14.04408818
80.80160321,14.08016032
81.16232465,14.11623246
81.52304609,14.15230461
81.88376754,14.18837675
82.24448898,14.2244489
82.60521042,14.26052104
82.96593186,14.29659319
83.32665331,14.33266533
83.68737475,14.36873747
84.04809619,14.40480962
84.40881764,14.44088176
84.76953908,14.47695391
85.13026052,14.51302605
85.49098196,14.5490982
85.85170341,14.58517034
86.21242485,14.62124248
86.57314629,14.65731463
86.93386774,14.69338677
87.29458918,14.72945892
87.65531062,14.76553106
88.01603206,14.80160321
88.37675351,14.83767535
88.73747495,14.87374749
89.09819639,14.90981964
89.45891784,14.94589178
89.81963928,14.98196393
90.18036072,15.01803607
90.54108216,15.05410822
90.90180361,15.09018036
91.26252505,15.12625251
91.62324649,15.16232465
91.98396794,15.19839679
92.34468938,15.23446894
92.70541082,15.27054108
93.06613226,15.30661323
93.42685371,15.34268537
93.78757515,15.37875752
94.14829659,15.41482966
94.50901804,15.4509018
94.86973948,15.48697395
95.23046092,15.52304609
95.59118236,15.55911824
95.95190381,15.59519038
96.31262525,15.63126253
96.67334669,15.66733467
97.03406814,15.70340681
97.39478958,15.73947896
97.75551102,15.7755511
98.11623246,15.81162325
98.47695391,15.84769539
98.83767535,15.88376754
99.19839679,15.91983968
99.55911824,15.95591182
99.91983968,15.99198397
100.2805611,16.02805611
100.6412826,16.06412826
101.002004,16.1002004
101.3627255,16.13627255
101.7234469,16.17234469
102.0841683,16.20841683
102.4448898,16.24448898
102.8056112,16.28056112
103.1663327,16.31663327
103.5270541,16.35270541
103.8877756,16.38877756
104.248497,16.4248497
104.6092184,16.46092184
104.9699399,16.49699399
105.3306613,16.53306613
105.6913828,16.56913828
106.0521042,16.60521042
106.4128257,16.64128257
106.7735471,16.67735471
107.1342685,16.71342685
107.49499,16.749499
107.8557114,16.78557114
108.2164329,16.82164329
108.5771543,16.85771543
108.9378758,16.89378758
109.2985972,16.92985972
109.6593186,16.96593186
110.0200401,17.00200401
110.3807615,17.03807615
110.741483,17.0741483
111.1022044,17.11022044
111.4629259,17.14629259
111.8236473,17.18236473
112.1843687,17.21843687
112.5450902,17.25450902
112.9058116,17.29058116
113.2665331,17.32665331
113.6272545,17.36272545
113.987976,17.3987976
114.3486974,17.43486974
114.7094188,17.47094188
115.0701403,17.50701403
115.4308617,17.54308617
115.7915832,17.57915832
116.1523046,17.61523046
116.5130261,17.65130261
116.8737475,17.68737475
117.2344689,17.72344689
117.5951904,17.75951904
117.9559118,17.79559118
118.3166333,17.83166333
118.6773547,17.86773547
119.0380762,17.90380762
119.3987976,17.93987976
119.759519,17.9759519
120.1202405,18.01202405
120.4809619,18.04809619
120.8416834,18.08416834
121.2024048,18.12024048
121.5631263,18.15631263
121.9238477,18.19238477
122.2845691,18.22845691
122.6452906,18.26452906
123.006012,18.3006012
123.3667335,18.33667335
123.7274549,18.37274549
124.0881764,18.40881764
124.4488978,18.44488978
124.8096192,18.48096192
125.1703407,18.51703407
125.5310621,18.55310621
125.8917836,18.58917836
126.252505,18.6252505
126.6132265,18.66132265
126.9739479,18.69739479
127.3346693,18.73346693
127.6953908,18.76953908
128.0561122,18.80561122
128.4168337,18.84168337
128.7775551,18.87775551
129.1382766,18.91382766
129.498998,18.9498998
129.8597194,18.98597194
130.2204409,19.02204409
130.5811623,19.05811623
130.9418838,19.09418838
131.3026052,19.13026052
131.6633267,19.16633267
132.0240481,19.20240481
132.3847695,19.23847695
132.745491,19.2745491
133.1062124,19.31062124
133.4669339,19.34669339
133.8276553,19.38276553
134.1883768,19.41883768
134.5490982,19.45490982
134.9098196,19.49098196
135.2705411,19.52705411
135.6312625,19.56312625
135.991984,19.5991984
136.3527054,19.63527054
136.7134269,19.67134269
137.0741483,19.70741483
137.4348697,19.74348697
137.7955912,19.77955912
138.1563126,19.81563126
138.5170341,19.85170341
138.8777555,19.88777555
139.238477,19.9238477
139.5991984,19.95991984
139.9599198,19.99599198
140.3206413,20.03206413
140.6813627,20.06813627
141.0420842,20.10420842
141.4028056,20.14028056
141.7635271,20.17635271
142.1242485,20.21242485
