time_s,voltage_V,speed_RPM,current_A,current_limited
0,6,904.159132,0.0678119349,0
10,6,904.159132,0.0678119349,0
10,7,1054.852321,0.07911392405,0
20,7,1054.852321,0.07911392405,0
20,8,1205.545509,0.0904159132,0
30,8,1205.545509,0.0904159132,0
30,9,1356.238698,0.1017179024,0
40,9,1356.238698,0.1017179024,0
40,10,1506.931887,0.1130198915,0
50,10,1506.931887,0.1130198915,0
50,11,1657.625075,0.1243218807,0
60,11,1657.625075,0.1243218807,0
60,12,1808.318264,0.1356238698,0
70,12,1808.318264,0.1356238698,0
70,13,1959.011453,0.146925859,0
80,13,1959.011453,0.146925859,0
80,14,2109.704641,0.1582278481,0
90,14,2109.704641,0.1582278481,0
90,15,2260.39783,0.1695298373,0
100,15,2260.39783,0.1695298373,0
100,16,2411.091019,0.1808318264,0
110,16,2411.091019,0.1808318264,0
110,17,2561.784207,0.1921338156,0
120,17,2561.784207,0.1921338156,0
120,18,2712.477396,0.2034358047,0
130,18,2712.477396,0.2034358047,0
130,19,2863.170585,0.2147377939,0
140,19,2863.170585,0.2147377939,0
140,20,3013.863773,0.226039783,0
150,20,3013.863773,0.226039783,0
150,21,3164.556962,0.2373417722,0
160,21,3164.556962,0.2373417722,0
160,22,3315.250151,0.2486437613,0
170,22,3315.250151,0.2486437613,0
170,23,3465.943339,0.2599457505,0
180,23,3465.943339,0.2599457505,0
180,24,3616.636528,0.2712477396,0
